,close,high,low,open,time,volumefrom,volumeto,timestamp
1541,6296.49,6304.09,6292.39,6292.43,1530473580,16.41,103715.04,2018-07-01 15:33:00
1542,6306.07,6306.09,6294.64,6296.25,1530473640,13.23,83561.52,2018-07-01 15:34:00
1543,6299.67,6307.05,6299.55,6306.07,1530473700,12.91,81738.35,2018-07-01 15:35:00
1544,6301.86,6302.34,6299.17,6299.63,1530473760,28.77,181649.53,2018-07-01 15:36:00
1545,6301.66,6305.82,6296.01,6301.86,1530473820,36.74,231602.95,2018-07-01 15:37:00
1546,6315.09,6315.31,6301.35,6301.35,1530473880,57.65,364154.9,2018-07-01 15:38:00
1547,6312.24,6316.89,6307.31,6315.69,1530473940,9.94,63412.39,2018-07-01 15:39:00
1548,6306.93,6315.02,6306.89,6312.22,1530474000,15.22,96349.01,2018-07-01 15:40:00
1549,6309.9,6317.41,6306.9,6306.93,1530474060,13.28,83940.16,2018-07-01 15:41:00
1550,6311.54,6313.71,6306.0,6311.4,1530474120,10.61,67264.26,2018-07-01 15:42:00
1551,6312.71,6317.61,6307.18,6311.52,1530474180,12.24,77282.21,2018-07-01 15:43:00
1552,6311.81,6314.61,6307.55,6312.73,1530474240,15.04,95101.38,2018-07-01 15:44:00
1553,6317.39,6319.37,6311.2,6311.81,1530474300,24.09,152427.3,2018-07-01 15:45:00
1554,6315.9,6322.07,6310.24,6317.37,1530474360,19.33,122298.29,2018-07-01 15:46:00
1555,6316.96,6319.21,6310.41,6316.44,1530474420,20.86,132282.33,2018-07-01 15:47:00
1556,6312.59,6322.24,6309.0,6316.96,1530474480,16.53,104709.3,2018-07-01 15:48:00
1557,6318.74,6318.94,6311.49,6312.65,1530474540,11.39,72052.01,2018-07-01 15:49:00
1558,6308.87,6318.77,6308.25,6318.72,1530474600,8.8,55817.57,2018-07-01 15:50:00
1559,6318.24,6319.08,6308.84,6308.84,1530474660,12.51,79334.29,2018-07-01 15:51:00
1560,6313.85,6318.73,6311.99,6318.27,1530474720,11.57,73410.77,2018-07-01 15:52:00
1561,6316.97,6319.44,6312.89,6313.52,1530474780,8.65,54727.08,2018-07-01 15:53:00
1562,6319.73,6320.69,6310.37,6316.97,1530474840,15.07,95870.22,2018-07-01 15:54:00
1563,6315.39,6319.77,6307.86,6319.73,1530474900,12.58,79623.47,2018-07-01 15:55:00
1564,6318.34,6320.8,6312.66,6316.45,1530474960,16.56,105132.3,2018-07-01 15:56:00
1565,6310.78,6318.96,6310.65,6318.34,1530475020,10.82,68557.86,2018-07-01 15:57:00
1566,6310.23,6316.78,6310.12,6310.78,1530475080,18.53,117033.4,2018-07-01 15:58:00
1567,6313.66,6321.16,6310.23,6310.23,1530475140,15.34,97524.48,2018-07-01 15:59:00
1568,6308.5,6317.27,6308.5,6313.94,1530475200,16.14,102069.92,2018-07-01 16:00:00
1569,6313.79,6318.12,6308.12,6308.52,1530475260,20.46,129793.19,2018-07-01 16:01:00
1570,6310.68,6317.39,6307.09,6313.74,1530475320,10.34,65299.31,2018-07-01 16:02:00
1571,6305.62,6315.5,6305.62,6310.68,1530475380,10.08,63736.97,2018-07-01 16:03:00
1572,6307.55,6315.99,6304.9,6305.65,1530475440,22.52,142554.66,2018-07-01 16:04:00
